timestamp,asin,name,title,price,currency
2026-07-18T14:40:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-18T14:07:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-19T14:01:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-19T14:47:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-20T14:17:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-20T14:15:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-21T14:14:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-21T14:08:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-22T14:47:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-22T14:06:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-23T14:43:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-23T14:47:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-24T14:57:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-24T14:34:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-25T14:05:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-25T14:37:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-26T14:27:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,2184.0,MXN
2026-07-26T14:02:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-27T14:01:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,1999.0,MXN
2026-07-27T14:05:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-28T14:13:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,1999.0,MXN
2026-07-28T14:14:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-29T14:32:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,1999.0,MXN
2026-07-29T14:38:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2050.0,MXN
2026-07-30T14:01:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,1999.0,MXN
2026-07-30T14:35:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2199.0,MXN
2026-07-31T14:12:00+00:00,B0CM49Z6SN,Karcher K2 Pressure Washer,Kärcher Hidrolavadora Eléctrica K2 Compact,1999.0,MXN
2026-07-31T14:45:00+00:00,B0BNW5RQN6,Truper Orbital Polisher,"Truper PULA-6A, Pulidora doble acción 6 pulgadas",2199.0,MXN
